id,repeat,ari,assigned_ari,coverage,same_k,noise_agreement,error
435,6,0.9252205267120328,0.9650673630612222,0.86875,True,0.925,
435,7,0.9927277339233227,1.0,0.95,True,0.99375,
435,8,0.984258442523986,1.0,0.95625,True,0.99375,
435,9,0.8094118208934351,0.9373406625374907,0.8125,True,0.88125,
435,10,0.9921932509181216,1.0,0.93125,True,0.9875,
435,11,0.9673426839819308,1.0,0.86875,False,0.925,
435,12,0.9366433187853728,0.9801873161149159,0.86875,False,0.91875,
435,13,0.9057634098538523,0.962613306215781,0.9,False,0.9625,
435,14,0.889306501034014,0.9511691502250768,0.8625,True,0.925,
435,15,0.9760986229035048,1.0,0.88125,False,0.93125,
435,16,0.8769652938390637,0.9635407771562553,0.93125,True,0.94375,
435,17,0.9069115513068267,1.0,0.83125,False,0.9,
435,18,0.9605694797737393,0.982273252472784,0.9375,True,0.98125,
435,19,0.9794083954559375,1.0,0.9375,True,0.9875,
813,0,0.9197004854132976,0.9197004854132976,1.0,True,1.0,
813,1,0.9318399835066872,0.9318399835066872,1.0,True,1.0,
813,2,1.0,1.0,1.0,True,1.0,
813,3,0.948112826091043,0.948112826091043,1.0,True,1.0,
813,4,0.900525225200746,0.900525225200746,1.0,True,1.0,
813,5,0.9866519668689174,0.9866519668689174,1.0,True,1.0,
813,6,0.9322014818453478,0.9322014818453478,1.0,True,1.0,
813,7,0.8896504098639254,0.8896504098639254,1.0,True,1.0,
813,8,0.9033707003529329,0.9033707003529329,1.0,True,1.0,
813,9,0.9590649280044015,0.9590649280044015,1.0,True,1.0,
813,10,0.9623223944575329,0.9623223944575329,1.0,True,1.0,
813,11,1.0,1.0,1.0,True,1.0,
813,12,0.9864727409214601,0.9864727409214601,1.0,True,1.0,
813,13,0.9297117275447013,0.9297117275447013,1.0,True,1.0,
813,14,0.7283499169771998,0.7283499169771998,1.0,True,1.0,
813,15,1.0,1.0,1.0,True,1.0,
813,16,0.9735888153893263,0.9735888153893263,1.0,True,1.0,
813,17,0.927500731095148,0.927500731095148,1.0,True,1.0,
813,18,0.9571809226868013,0.9571809226868013,1.0,True,1.0,
813,19,0.9350378212825516,0.9350378212825516,1.0,True,1.0,
660,0,0.9671826625386997,0.9671826625386997,1.0,True,1.0,
660,1,0.9418327751109474,0.9418327751109474,1.0,True,1.0,
660,2,0.9845050706564602,0.9845050706564602,1.0,True,1.0,
660,3,0.9759755305751014,0.9759755305751014,1.0,True,1.0,
660,4,0.9714477015784573,0.9714477015784573,1.0,True,1.0,
660,5,0.9859624158355167,0.9859624158355167,1.0,True,1.0,
660,6,1.0,1.0,1.0,True,1.0,
660,7,0.9326334372327807,0.9326334372327807,1.0,True,1.0,
660,8,0.986723459019052,0.986723459019052,1.0,True,1.0,
660,9,1.0,1.0,1.0,True,1.0,
660,10,0.9499321771146206,0.9499321771146206,1.0,True,1.0,
660,11,0.9525556335757233,0.9525556335757233,1.0,True,1.0,
660,12,1.0,1.0,1.0,True,1.0,
660,13,0.9897192209675466,0.9897192209675466,1.0,True,1.0,
660,14,1.0,1.0,1.0,True,1.0,
660,15,0.9841185846786448,0.9841185846786448,1.0,True,1.0,
660,16,0.973486639611083,0.973486639611083,1.0,True,1.0,
660,17,0.947408744771557,0.947408744771557,1.0,True,1.0,
660,18,0.9721095125261532,0.9721095125261532,1.0,True,1.0,
660,19,0.9867953085973753,0.9867953085973753,1.0,True,1.0,
518,0,0.5212022313086102,0.5212022313086102,1.0,True,1.0,
518,1,0.7001715044773769,0.7001715044773769,1.0,True,1.0,
518,2,0.6305438145150558,0.6305438145150558,1.0,True,1.0,
518,3,0.8281679288391769,0.8281679288391769,1.0,True,1.0,
518,4,0.8227190785429743,0.8227190785429743,1.0,True,1.0,
518,5,0.8742047694374335,0.8742047694374335,1.0,True,1.0,
518,6,0.8743291333413499,0.8743291333413499,1.0,True,1.0,
518,7,0.6404538212238469,0.6404538212238469,1.0,True,1.0,
518,8,0.7297361284882524,0.7297361284882524,1.0,True,1.0,
518,9,0.8068031255857242,0.8068031255857242,1.0,True,1.0,
518,10,0.7137866547252433,0.7137866547252433,1.0,True,1.0,
518,11,0.6913834256291932,0.6913834256291932,1.0,True,1.0,
518,12,0.8802881601597352,0.8802881601597352,1.0,True,1.0,
518,13,0.6551991481472771,0.6551991481472771,1.0,True,1.0,
518,14,0.7234115065925405,0.7234115065925405,1.0,True,1.0,
518,15,0.8778177608216572,0.8778177608216572,1.0,True,1.0,
518,16,0.8772440810552675,0.8772440810552675,1.0,True,1.0,
518,17,0.8063427754486405,0.8063427754486405,1.0,True,1.0,
518,18,0.7887748230348107,0.7887748230348107,1.0,True,1.0,
518,19,0.7341401994195783,0.7341401994195783,1.0,True,1.0,
511,0,0.4982412698776627,0.4982412698776627,1.0,True,1.0,
511,1,0.9364780482057917,0.9364780482057917,1.0,True,1.0,
511,2,0.9213663662049953,0.9213663662049953,1.0,True,1.0,
511,3,0.6761321349910653,0.6761321349910653,1.0,True,1.0,
511,4,0.984395675713816,0.984395675713816,1.0,True,1.0,
511,5,0.9882237244327403,0.9882237244327403,1.0,True,1.0,
511,6,0.9184169687678669,0.9184169687678669,1.0,True,1.0,
511,7,0.5681029164321535,0.5681029164321535,1.0,True,1.0,
511,8,0.8969731224854188,0.8969731224854188,1.0,True,1.0,
511,9,0.9656348294313783,0.9656348294313783,1.0,True,1.0,
511,10,0.9897048870604641,0.9897048870604641,1.0,True,1.0,
511,11,0.9396739183859514,0.9396739183859514,1.0,True,1.0,
511,12,0.9302345910792572,0.9302345910792572,1.0,True,1.0,
511,13,0.5379908994621334,0.5379908994621334,1.0,True,1.0,
511,14,0.9653127216726014,0.9653127216726014,1.0,True,1.0,
511,15,0.8862565907232741,0.8862565907232741,1.0,True,1.0,
511,16,0.9761503794257819,0.9761503794257819,1.0,True,1.0,
511,17,0.6827681045136922,0.6827681045136922,1.0,True,1.0,
511,18,0.9221272724029044,0.9221272724029044,1.0,True,1.0,
511,19,0.9857665477116967,0.9857665477116967,1.0,True,1.0,
664,0,0.5100025697232752,0.5100025697232752,1.0,True,1.0,
664,1,0.9147638724414164,0.9147638724414164,1.0,True,1.0,
664,2,0.9380604250189974,0.9380604250189974,1.0,True,1.0,
664,3,0.49975283998347947,0.49975283998347947,1.0,True,1.0,
664,4,0.9477881190549711,0.9477881190549711,1.0,True,1.0,
664,5,0.9882237244327403,0.9882237244327403,1.0,True,1.0,
664,6,0.9044729823899569,0.9044729823899569,1.0,True,1.0,
664,7,0.6648977302018104,0.6648977302018104,1.0,True,1.0,
664,8,0.8969731224854188,0.8969731224854188,1.0,True,1.0,
664,9,0.6923384727668263,0.6923384727668263,1.0,True,1.0,
664,10,0.6660892706817015,0.6660892706817015,1.0,True,1.0,
664,11,0.906868668283975,0.906868668283975,1.0,True,1.0,
664,12,0.9302345910792572,0.9302345910792572,1.0,True,1.0,
664,13,0.5449557363499666,0.5449557363499666,1.0,True,1.0,
664,14,0.7423300917172123,0.7423300917172123,1.0,True,1.0,
664,15,0.9397176786567106,0.9397176786567106,1.0,True,1.0,
664,16,0.9549319727891157,0.9549319727891157,1.0,True,1.0,
664,17,0.7325720343894021,0.7325720343894021,1.0,True,1.0,
664,18,0.9221272724029044,0.9221272724029044,1.0,True,1.0,
664,19,0.663366608948903,0.663366608948903,1.0,True,1.0,
689,0,0.8046548492808677,0.8046548492808677,1.0,True,1.0,
689,1,0.6883290955775172,0.6883290955775172,1.0,True,1.0,
689,2,0.8266577228141645,0.8266577228141645,1.0,True,1.0,
689,3,0.9068687663997648,0.9068687663997648,1.0,True,1.0,
689,4,0.8519125512492094,0.8519125512492094,1.0,True,1.0,
689,5,0.8645661397009378,0.8645661397009378,1.0,True,1.0,
689,6,0.8034448656667216,0.8034448656667216,1.0,True,1.0,
689,7,0.8688031130793394,0.8688031130793394,1.0,True,1.0,
689,8,0.8343468462293482,0.8343468462293482,1.0,True,1.0,
689,9,0.7906155606218981,0.7906155606218981,1.0,True,1.0,
689,10,0.9025980810955334,0.9025980810955334,1.0,True,1.0,
689,11,0.8774383570042618,0.8774383570042618,1.0,True,1.0,
689,12,0.9715658533373543,0.9715658533373543,1.0,True,1.0,
689,13,0.8821531695301905,0.8821531695301905,1.0,True,1.0,
689,14,0.8641533119168324,0.8641533119168324,1.0,True,1.0,
689,15,0.8968210266613409,0.8968210266613409,1.0,True,1.0,
689,16,0.7862612417581059,0.7862612417581059,1.0,True,1.0,
689,17,0.7475275823547654,0.7475275823547654,1.0,True,1.0,
689,18,0.850445899963367,0.850445899963367,1.0,True,1.0,
689,19,0.8554889365880495,0.8554889365880495,1.0,True,1.0,
129,0,0.9432068706862782,0.9778970287448592,0.85,False,0.925,
129,1,0.531152273494643,0.7319552382210069,0.7875,False,0.85,
129,2,0.3845509545703555,0.5201084528768235,0.76875,True,0.85,
129,3,0.8494312208959974,0.9539039485467896,0.91875,False,0.9375,
129,4,0.8620789817268931,0.9727276253204583,0.8375,False,0.90625,
129,5,0.8425175451690943,0.8566728321331117,0.925,False,0.9875,
129,6,0.9022345222261051,0.9364733380518776,0.85625,False,0.93125,
129,7,0.8519626051066221,0.980512080640658,0.88125,False,0.925,
129,8,0.9788217379732375,0.9818240608122197,0.94375,False,0.99375,
129,9,0.808954539940968,0.9254211128761883,0.80625,False,0.89375,
129,10,0.952390602277486,0.9736512934762992,0.91875,False,0.9875,
129,11,0.8469302453326337,0.9699193274378832,0.825,False,0.89375,
